ID,Title,Year,Rating,TMDb URL,Image URL
a732,City Hunter,"Apr 06, 1987",80,https://www.themoviedb.org/tv/36046,https://media.themoviedb.org/t/p/w220_and_h330_face/4BA0FDKiJD0N4ljYhlwOVjQKszR.jpg
a733,Ode to Joy,"Apr 18, 2016",62,https://www.themoviedb.org/tv/66370,https://media.themoviedb.org/t/p/w220_and_h330_face/tvVittrRPohBv5rQXWbghTDOPn9.jpg
a734,Kings,"Mar 22, 2022",83,https://www.themoviedb.org/tv/51018-reis,https://media.themoviedb.org/t/p/w220_and_h330_face/1K8FiVBk9nDAH0TZmkeMVZ5mR5i.jpg
a735,High Kick: Revenge of the Short Legged,"Sep 19, 2011",65,https://www.themoviedb.org/tv/88131,https://media.themoviedb.org/t/p/w220_and_h330_face/29IyBGkje3h8Tqj590MOoccT9re.jpg
a736,The Disastrous Life of Saiki K.,"Jul 11, 2016",83,https://www.themoviedb.org/tv/67676,https://media.themoviedb.org/t/p/w220_and_h330_face/tpym31HVeQgenaubvCxkMF3kFHy.jpg
a737,The Powerpuff Girls,"Nov 18, 1998",75,https://www.themoviedb.org/tv/607-the-powerpuff-girls,https://media.themoviedb.org/t/p/w220_and_h330_face/4CMPCuP6ihU5UvTStv23aGEEMuC.jpg
a738,Alma Indomable,"Oct 19, 2009",20,https://www.themoviedb.org/tv/44798-alma-indomable,https://media.themoviedb.org/t/p/w220_and_h330_face/frxNz983EpnaAzFovvBQXImXSbk.jpg
a739,La Vecina,"May 25, 2015",51,https://www.themoviedb.org/tv/62766-la-vecina,https://media.themoviedb.org/t/p/w220_and_h330_face/dblXbG4aSY6EFaAtt1OZBQxQtd5.jpg
a740,Papi Ricky,"Mar 12, 2007",40,https://www.themoviedb.org/tv/76594-papi-ricky,https://media.themoviedb.org/t/p/w220_and_h330_face/cfUkNFMDtbDZU3XzLfthjVBrWWP.jpg
a741,Great Performances,"Jan 28, 1971",54,https://www.themoviedb.org/tv/10029-great-performances,https://media.themoviedb.org/t/p/w220_and_h330_face/mlV5McEtFXJxRHQJ8qGRuQgOWeQ.jpg
a742,Mayor of Kingstown,"Nov 14, 2021",79,https://www.themoviedb.org/tv/97951-mayor-of-kingstown,https://media.themoviedb.org/t/p/w220_and_h330_face/86OUOPulMiM8rjrQSt4KMev7UAa.jpg
a743,Star vs. the Forces of Evil,"Jan 18, 2015",84,https://www.themoviedb.org/tv/61923-star-vs-the-forces-of-evil,https://media.themoviedb.org/t/p/w220_and_h330_face/dKFL1AOdKNoazqZDg1zq2z69Lx1.jpg
a744,Suspense,"Jan 06, 1949",47,https://www.themoviedb.org/tv/18538-suspense,https://media.themoviedb.org/t/p/w220_and_h330_face/9h8qVuMWqm7ptN7xati8GKYqnwJ.jpg
a745,Wow! Wow! Wubbzy!,"Aug 28, 2006",82,https://www.themoviedb.org/tv/1346-wow-wow-wubbzy,https://media.themoviedb.org/t/p/w220_and_h330_face/hrIWpaPdxwTXTov6WIu5KZPKfcc.jpg
a746,Hound's Hill,"Jan 08, 2025",67,https://www.themoviedb.org/tv/230127-wzgorze-psow,https://media.themoviedb.org/t/p/w220_and_h330_face/gLLVz7NFxUERSIVvn6Pap9ZMc5w.jpg
a747,The Circus,"Jan 17, 2016",62,https://www.themoviedb.org/tv/65339-the-circus,https://media.themoviedb.org/t/p/w220_and_h330_face/vnufA6IaOEgmnk28CSTIH9Umk4S.jpg
a748,Dexter's Laboratory,"Apr 28, 1996",77,https://www.themoviedb.org/tv/4229-dexter-s-laboratory,https://media.themoviedb.org/t/p/w220_and_h330_face/inJJn8lUPWdvdy2h259UnoHWVqC.jpg
a749,The Chosen,"Apr 21, 2019",86,https://www.themoviedb.org/tv/85077-the-chosen,https://media.themoviedb.org/t/p/w220_and_h330_face/3fY4xLjZc8ee83cP2nvq1pt0wmS.jpg
a750,Private Eyes,"May 26, 2016",73,https://www.themoviedb.org/tv/66599-private-eyes,https://media.themoviedb.org/t/p/w220_and_h330_face/yPt9IuY2D8g6Lpwh8O8wCDixzt9.jpg
a751,Sex/Life,"Jun 25, 2021",71,https://www.themoviedb.org/tv/126280-sex-life,https://media.themoviedb.org/t/p/w220_and_h330_face/kfcJl5e8CRWDU7e4vX6uNABPRbS.jpg
a752,Scissor Seven,"Apr 25, 2018",86,https://www.themoviedb.org/tv/79141,https://media.themoviedb.org/t/p/w220_and_h330_face/4g071bXxUpblmAhuk6u2YuFnsrf.jpg
a753,El Maleficio,"Nov 13, 2023",73,https://www.themoviedb.org/tv/239559-el-maleficio,https://media.themoviedb.org/t/p/w220_and_h330_face/zIRapTGSOrlfhgIf4DjV0OgXxsX.jpg
a754,Danger Mouse,"Sep 28, 2015",62,https://www.themoviedb.org/tv/64092-danger-mouse,https://media.themoviedb.org/t/p/w220_and_h330_face/cnWr5XFOPaiIwJfx2MCj3MEQtsL.jpg
a755,Saints & Sinners,"Mar 06, 2016",79,https://www.themoviedb.org/tv/65804-saints-sinners,https://media.themoviedb.org/t/p/w220_and_h330_face/dAnMf6cpuq0p0PLEGrX0wCXyS4d.jpg
a756,Turbo FAST,"Dec 24, 2013",76,https://www.themoviedb.org/tv/63157-turbo-fast,https://media.themoviedb.org/t/p/w220_and_h330_face/c3SFrFRYNS0VIH0Cmb4onGAz5dd.jpg
a757,Parks and Recreation,"Apr 09, 2009",80,https://www.themoviedb.org/tv/8592-parks-and-recreation,https://media.themoviedb.org/t/p/w220_and_h330_face/dDuzrl9rUIBYieZjqmtNCdncrmZ.jpg
a758,Osomatsu-kun,"Feb 05, 1966",70,https://www.themoviedb.org/tv/43277,https://media.themoviedb.org/t/p/w220_and_h330_face/lVKcjACkVUL5nM3Xwc2wIw6HaGN.jpg
a759,My Little Pony: Friendship Is Magic,"Oct 10, 2010",81,https://www.themoviedb.org/tv/33765-my-little-pony-friendship-is-magic,https://media.themoviedb.org/t/p/w220_and_h330_face/fwW7WgJIjhBsnzk87Gyh6g9187m.jpg
a760,Corn & Peg,"Feb 22, 2019",30,https://www.themoviedb.org/tv/98512-corn-peg,https://media.themoviedb.org/t/p/w220_and_h330_face/tDknv1641IIvRW5WBUgBihTEAJV.jpg
a761,Sex and the City,"Jun 06, 1998",74,https://www.themoviedb.org/tv/105-sex-and-the-city,https://media.themoviedb.org/t/p/w220_and_h330_face/tzVUZxNwntAS8Gk3WF2DCcI8x1B.jpg
a762,My Demon,"Nov 24, 2023",84,https://www.themoviedb.org/tv/218539,https://media.themoviedb.org/t/p/w220_and_h330_face/xBnscv5BrJREKVSvh0le61y4KDk.jpg
a763,Super Why!,"Sep 03, 2007",67,https://www.themoviedb.org/tv/14766-super-why,https://media.themoviedb.org/t/p/w220_and_h330_face/lJttSVfKx56a2wN2pg2yR4IHzwy.jpg
a764,HIP - High Intellectual Potential,"Apr 29, 2021",75,https://www.themoviedb.org/tv/112738-hpi-haut-potentiel-intellectuel,https://media.themoviedb.org/t/p/w220_and_h330_face/dMqXRWwGOuXpTkw3UX1jppMZFOL.jpg
a765,The Investiture Of The Gods,"Jan 31, 2014",45,https://www.themoviedb.org/tv/68680,https://media.themoviedb.org/t/p/w220_and_h330_face/pEmkJAZS5NK5itWhDX3o0nRYJG2.jpg
a766,One Hundred Years of Solitude,"Dec 11, 2024",80,https://www.themoviedb.org/tv/207333-cien-anos-de-soledad,https://media.themoviedb.org/t/p/w220_and_h330_face/oX8CAf3eyCknNPXX1IxdmAuv6jH.jpg
a767,Gravity Falls,"Jun 15, 2012",86,https://www.themoviedb.org/tv/40075-gravity-falls,https://media.themoviedb.org/t/p/w220_and_h330_face/dNxEEK5CdNQbp4YcEtICXelRqvP.jpg
a768,Marvel's Daredevil,"Apr 10, 2015",82,https://www.themoviedb.org/tv/61889-marvel-s-daredevil,https://media.themoviedb.org/t/p/w220_and_h330_face/QWbPaDxiB6LW2LjASknzYBvjMj.jpg
a769,Por Estas Calles,"Jun 03, 1992",0,https://www.themoviedb.org/tv/6557-por-estas-calles,https://media.themoviedb.org/t/p/w220_and_h330_face/ijeCoxk9nECdq2Uw7H0Ym609Ici.jpg
a770,Teresa,"Aug 02, 2010",77,https://www.themoviedb.org/tv/12926-teresa,https://media.themoviedb.org/t/p/w220_and_h330_face/5U8eEPG2ESPOsjDB0J9aXMelctc.jpg
a771,LEGO Ninjago: Dragons Rising,"Jun 01, 2023",81,https://www.themoviedb.org/tv/212989-lego-ninjago-dragons-rising,https://media.themoviedb.org/t/p/w220_and_h330_face/aUOgcqXVy7tSus5u6OJeB1pB8uL.jpg
a772,iCarly,"Sep 08, 2007",80,https://www.themoviedb.org/tv/5371-icarly,https://media.themoviedb.org/t/p/w220_and_h330_face/kP8Z51s9D8tiGnoRbL88db0e2jv.jpg
a773,The Love in Your Eyes,"Oct 03, 2022",55,https://www.themoviedb.org/tv/211239,https://media.themoviedb.org/t/p/w220_and_h330_face/gJnVJ3l4p1GDvGpwFedXhAJG3qE.jpg
a774,Classic Tales,"May 31, 2008",85,https://www.themoviedb.org/tv/48512-classic-tales,https://media.themoviedb.org/t/p/w220_and_h330_face/hvGxYsXWQf8jLb6Pz6GnA7OElnG.jpg
a775,All American,"Oct 10, 2018",82,https://www.themoviedb.org/tv/82428-all-american,https://media.themoviedb.org/t/p/w220_and_h330_face/c8FTtjQcQfqSI0McmVc1OOOf7Z7.jpg
a776,Laverne & Shirley,"Jan 27, 1976",72,https://www.themoviedb.org/tv/3033-laverne-shirley,https://media.themoviedb.org/t/p/w220_and_h330_face/mUMK8AZ5uvJoTXqgGjYQNoIkf5N.jpg
a777,Tokyo Ghoul,"Jul 04, 2014",83,https://www.themoviedb.org/tv/61374,https://media.themoviedb.org/t/p/w220_and_h330_face/1m4RlC9BTCbyY549TOdVQ5NRPcR.jpg
a778,Everybody Hates Chris,"Sep 22, 2005",80,https://www.themoviedb.org/tv/252-everybody-hates-chris,https://media.themoviedb.org/t/p/w220_and_h330_face/3FjakKDEuaO8FpR1qJctV6njqYy.jpg
a779,Camp Camp,"Jun 10, 2016",81,https://www.themoviedb.org/tv/67053-camp-camp,https://media.themoviedb.org/t/p/w220_and_h330_face/uXvv9aCOCJL8U8Zf4eSoWU5MgRE.jpg
a780,Person of Interest,"Sep 22, 2011",81,https://www.themoviedb.org/tv/1411-person-of-interest,https://media.themoviedb.org/t/p/w220_and_h330_face/6FuKOyJgViZXgMDOq9djFJLWPqX.jpg
a781,The Walking Dead: Daryl Dixon,"Sep 10, 2023",81,https://www.themoviedb.org/tv/211684-the-walking-dead-daryl-dixon,https://media.themoviedb.org/t/p/w220_and_h330_face/kdM24KINoAVK9wjCtDJCkdffEpc.jpg
a782,Buffy the Vampire Slayer,"Mar 10, 1997",81,https://www.themoviedb.org/tv/95-buffy-the-vampire-slayer,https://media.themoviedb.org/t/p/w220_and_h330_face/y7fVZkyheCEQHDUEHwNmYENGfT2.jpg
a783,Departure,"Jul 10, 2019",67,https://www.themoviedb.org/tv/91552-departure,https://media.themoviedb.org/t/p/w220_and_h330_face/b52lWChoqjtE6ZgMLK2XjA3unDW.jpg
a784,Dear Brother,"Jul 14, 1991",60,https://www.themoviedb.org/tv/36588,https://media.themoviedb.org/t/p/w220_and_h330_face/eOxB93uT4DahhesM5XAXVCKriR6.jpg
a785,Kiratto Pri☆chan,"Apr 08, 2018",67,https://www.themoviedb.org/tv/78482,https://media.themoviedb.org/t/p/w220_and_h330_face/KjPQEeKmlWSy20MQl5bUQxhjh5.jpg
a786,The Fruit of Grisaia,"Oct 05, 2014",68,https://www.themoviedb.org/tv/61422,https://media.themoviedb.org/t/p/w220_and_h330_face/bbyEffAlFj2X53yG37VQSgg3uL2.jpg
a787,Mickey Mouse Clubhouse,"May 05, 2006",68,https://www.themoviedb.org/tv/3934-mickey-mouse-clubhouse,https://media.themoviedb.org/t/p/w220_and_h330_face/gHtEhlAZHxMawOiPq7JoKwkmETQ.jpg
a788,Dangerous Affairs,"Jan 24, 2012",76,https://www.themoviedb.org/tv/32604-relaciones-peligrosas,https://media.themoviedb.org/t/p/w220_and_h330_face/zjSauj4sVzdpQp00LbpYeY9Jy1K.jpg
a789,Ashes of Love,"Aug 02, 2018",81,https://www.themoviedb.org/tv/80884,https://media.themoviedb.org/t/p/w220_and_h330_face/8VwL6wXTjSXrnil1NIbTErhxkIW.jpg
a790,The Trauma Code: Heroes on Call,"Jan 24, 2025",82,https://www.themoviedb.org/tv/217553,https://media.themoviedb.org/t/p/w220_and_h330_face/y8h2RwUZM5chv9tuaKVwSPoo3KE.jpg
a791,Wipeout,"Jun 28, 2008",64,https://www.themoviedb.org/tv/5583-wipeout,https://media.themoviedb.org/t/p/w220_and_h330_face/7K1IU6sf0w7TYqL8ao8dnEreQOB.jpg
a792,Drawn Together,"Oct 27, 2004",82,https://www.themoviedb.org/tv/4336-drawn-together,https://media.themoviedb.org/t/p/w220_and_h330_face/12gxxU70l3Ng7WlllpA7QmeqTQF.jpg
a793,Diaries of a Very Angry Wife,"Jun 18, 2015",50,https://www.themoviedb.org/tv/82313,https://media.themoviedb.org/t/p/w220_and_h330_face/a71mn0bRD760yCGpijX6T2cMNmn.jpg
a794,Destined with You,"Aug 23, 2023",81,https://www.themoviedb.org/tv/215001,https://media.themoviedb.org/t/p/w220_and_h330_face/fMiLKTIFB7YCBQSYoTJ7NCrPcD6.jpg
a795,Question Time,"Sep 25, 1979",51,https://www.themoviedb.org/tv/13354-question-time,https://media.themoviedb.org/t/p/w220_and_h330_face/nLGgjwQNnCKuDdJMDmp02pxB0u9.jpg
a796,Tenjho Tenge,"Apr 01, 2004",77,https://www.themoviedb.org/tv/34732,https://media.themoviedb.org/t/p/w220_and_h330_face/mTkTqRFusTa5rZW8S9YxPhOwIcw.jpg
a797,Rent-a-Girlfriend,"Jul 11, 2020",84,https://www.themoviedb.org/tv/96316,https://media.themoviedb.org/t/p/w220_and_h330_face/6ZpDPUNtVw6UdJoStvVlRZ62yAi.jpg
a798,The King's Doctor,"Oct 01, 2012",42,https://www.themoviedb.org/tv/45049,https://media.themoviedb.org/t/p/w220_and_h330_face/w7N9OBb7k1xL9WocZYeQssQtviG.jpg
a799,An Oriental Odyssey,"Oct 18, 2018",59,https://www.themoviedb.org/tv/83236,https://media.themoviedb.org/t/p/w220_and_h330_face/8g6DBJM9rkuKUAbrbMggOBgQoM.jpg
a800,Samurai Girls,"Oct 04, 2010",65,https://www.themoviedb.org/tv/46440,https://media.themoviedb.org/t/p/w220_and_h330_face/HTVddlolhBpsE2JDPRpUrfv74G.jpg
a801,After Midnight,"Jan 17, 2024",67,https://www.themoviedb.org/tv/242965-after-midnight,https://media.themoviedb.org/t/p/w220_and_h330_face/7O67hHXEaiW30UQdunBqlyPsfGh.jpg
a802,Mountain Men,"May 31, 2012",64,https://www.themoviedb.org/tv/60381-mountain-men,https://media.themoviedb.org/t/p/w220_and_h330_face/dzlqua6t8yNX4tm0JVgmYaq5j7U.jpg
a803,The Third Marriage,"Oct 23, 2023",58,https://www.themoviedb.org/tv/233090,https://media.themoviedb.org/t/p/w220_and_h330_face/mRP8Ehrfe1X2eoOBxK24ZGQv4gn.jpg
a804,"Murder, She Wrote","Sep 30, 1984",75,https://www.themoviedb.org/tv/484-murder-she-wrote,https://media.themoviedb.org/t/p/w220_and_h330_face/3UxBFG4fiuZ0P9n2sCrjXh64Avy.jpg
a805,New Looney Tunes,"Sep 21, 2015",70,https://www.themoviedb.org/tv/65763-new-looney-tunes,https://media.themoviedb.org/t/p/w220_and_h330_face/AdROLFTm3nSnqcmkhPabqdRuETZ.jpg
a806,Pawn Stars,"Jul 19, 2009",71,https://www.themoviedb.org/tv/21755-pawn-stars,https://media.themoviedb.org/t/p/w220_and_h330_face/8GeBQWQOTu7yLwNfCV6iWyL8xNf.jpg
a807,The Kardashians,"Apr 14, 2022",86,https://www.themoviedb.org/tv/154521-the-kardashians,https://media.themoviedb.org/t/p/w220_and_h330_face/zxp0rXiQM8uS2RqQfc6G4aorIyS.jpg
